PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
2017-10-21 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900,329
2017-10-25 12:00:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,340
2017-10-25 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,347
2017-10-26 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,331
2017-10-27 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,350
2017-10-28 12:00:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,306
2017-10-28 17:30:00 +0000 +0000,HİSSE-İ ŞAYİA (BİR EVLİLİK KOMEDİSİ),Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900,339
2017-10-05 17:30:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,248
2017-10-06 17:30:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,203
2017-10-07 12:00:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,193
2017-10-07 17:30:00 +0000 +0000,SON,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,263
2017-10-12 17:30:00 +0000 +0000,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,568
2017-10-13 17:30:00 +0000 +0000,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,546
2017-10-14 12:00:00 +0000 +0000,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,519
2017-10-14 17:30:00 +0000 +0000,AY IŞIĞINDA ŞAMATA,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yerli," 28.970972",41.079366,602
2017-10-19 17:30:00 +0000 +0000,ŞEKERPARE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli," 28.970972",41.079366,540
2017-10-20 17:30:00 +0000 +0000,ŞEKERPARE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli," 28.970972",41.079366,533
2017-10-21 12:00:00 +0000 +0000,ŞEKERPARE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli," 28.970972",41.079366,509
2017-10-21 17:30:00 +0000 +0000,ŞEKERPARE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli," 28.970972",41.079366,571
2017-10-26 17:30:00 +0000 +0000,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı," 28.970972",41.079366,563
2017-10-27 17:30:00 +0000 +0000,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı," 28.970972",41.079366,543
2017-10-28 12:00:00 +0000 +0000,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı," 28.970972",41.079366,585
2017-10-28 17:30:00 +0000 +0000,MACBETH,Kağıthane Sadabad Sahnesi,Yetişkin,0,Yabancı," 28.970972",41.079366,590
2017-10-04 12:00:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,303
2017-10-04 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,289
2017-10-05 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,298
2017-10-06 17:30:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,307
2017-10-07 12:00:00 +0000 +0000,BEN ÇAĞIRMADIM,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.023408,40.991770,305
